date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,ABCAPITAL,285.20,291.95,284.55,-0.402,8.39,292.40,237.39,96.78,59.80,3780274,0.937,271.46,280.02,286.35,271.46,280.02,287.50,2.46,0.168,292.40,149.01
25th Aug,POWERGRID,284.15,284.60,282.20,0.282,3.70,302.70,281.80,-113.13,35.93,7426689,1.09,291.22,287.25,283.35,291.33,287.25,283.35,22.42,0.046,366.25,247.30
25th Aug,PETRONET,273.60,277.40,272.20,-1.21,5.79,313.40,270.10,-68.28,38.02,1344155,2.21,285.39,280.78,276.95,285.39,273.68,277.20,26.50,0.005,384.20,269.60
25th Aug,MANAPPURAM,268.90,274.60,266.25,0.806,6.89,284.90,245.80,138.06,63.33,3723696,2.26,256.31,263.37,266.75,252.54,259.83,267,5.62,0.182,284.90,138.35
25th Aug,RBLBANK,256.80,260.35,254.50,1.44,7.50,272.88,214.04,-34.44,49.28,5064696,1.18,250.97,262.53,253.15,250.97,262.53,254.50,5.89,0.169,274,146.10
25th Aug,WIPRO,253.84,257.29,250.60,2.09,5.44,271.90,238.40,149.32,67.67,16391062,1.21,243.18,248.56,248.64,251.39,246.20,250.60,21.80,0.041,324.60,228
25th Aug,BANKBARODA,241.08,242.94,240.49,0.354,4.16,250.57,230.52,-10.21,44.53,6139715,1.03,247.24,246.02,240.23,247.24,246.77,241.50,9.69,0.087,299.70,190.70
25th Aug,ONGC,236.76,237.49,235.65,0.199,2.96,257.50,231.31,-14.31,45.77,8854254,1.63,239.74,235.86,236.29,239.74,235.86,236.30,28.68,0.057,345,205
25th Aug,NYKAA,229.54,233.10,224.94,2.04,6.48,233.10,192.20,154.60,77.88,11525976,2.83,216.25,222.64,224.94,213.76,219.95,226,1.53,0.145,233.10,154.90
25th Aug,LTF,217.69,223.25,217.41,-2.25,5.85,225.48,183.51,133.38,65.15,4476141,0.524,212.00,226.15,222.70,212.00,217.82,222.70,3.45,0.187,225.48,129.20
25th Aug,BHEL,216.51,219.60,216.21,-0.952,5.32,272.10,216.04,-86.28,29.31,2460383,0.753,229.20,223.55,218.59,230.21,224.31,219,25.85,0.086,335.35,176
25th Aug,NCC,218.77,220.98,215.98,0.834,4.95,236.89,207.22,-15.79,46.51,2419060,1.49,210.58,216.84,216.96,210.58,216.84,217.65,33.87,0.103,364.50,170.05
25th Aug,HUDCO,213.01,213.82,210.80,0.552,4.58,242.90,205.70,-13.76,49.94,2278434,0.602,219.50,208.97,211.84,219.50,208.97,212.75,24.41,0.121,353.70,158.85
25th Aug,IGL,210.86,212.82,206.64,1.76,4.44,229,198.13,273.72,70.74,3712715,2.54,212.92,205.09,207.21,212.92,207.43,207,26.06,0.133,285.18,153.05
25th Aug,FEDERALBNK,195.01,197.90,194.57,-0.677,3.26,220,185.11,-63.22,31.67,6443142,2.61,200.92,199.63,196.34,200.92,201.11,196.34,11.36,0.059,220,172.66
25th Aug,PPLPHARMA,192.82,197.20,192.33,0.036,4.76,220.85,185.12,1.73,48.93,2768258,0.996,201.71,195.81,192.75,201.71,195.81,194.85,37.38,0.030,307.90,181.73
25th Aug,NATIONALUM,190.41,193,189.90,0.815,3.87,200,179.93,115.33,53.87,4148820,1.74,184.17,188.16,188.87,184.17,188.16,189.90,27.60,0.146,262.99,137.75
25th Aug,GAIL,175.90,176.86,175.06,-0.515,2.69,195.45,167.25,15.64,50.54,8324846,1.30,171.86,174.93,176.81,171.86,174.93,176.82,28.20,0.082,246.30,150.52
25th Aug,BANDHANBNK,171.45,174.29,171.14,-1.03,4.21,192.48,162.25,60.19,51.72,3914608,1.71,166.71,171.15,173.23,166.71,171.15,173.23,20.42,0.147,222.31,128.16
25th Aug,CESC,164.24,168.35,163.90,-1.54,3.50,183,160.22,-20.33,44.69,1746429,0.495,171.46,166.82,166.81,171.46,166.82,167.60,22.71,0.168,212.49,119
25th Aug,TATASTEEL,159.63,160.33,158.64,0.681,3.12,168.78,150.48,19.53,50.77,16376504,1.02,155.23,158.55,158.55,155.23,158.55,159.20,6.20,0.146,184.60,122.62
25th Aug,IREDA,147.70,149.48,146.73,0.149,3.15,174.60,140.26,36.60,52.56,5108966,1.40,150.08,145.98,147.48,150.08,145.98,147.98,38.80,0.049,310,137.01
25th Aug,IEX,143.87,148.80,142.64,-0.035,4.56,211.75,130.26,133.81,54.64,10187336,1.52,147.33,140.69,143.92,147.33,139.85,143.86,41.13,0.066,244.40,130.26
25th Aug,INOXWIND,142.65,145.16,141.79,-0.972,4.59,181,135.50,-41.26,42.59,5352442,0.729,146.30,139.73,144.05,146.30,139.73,144.88,45.53,0.061,261.90,130.32
25th Aug,IOC,139.96,140.37,139.19,0.007,2.46,155,136.40,-97.11,35.18,8282893,1.41,144.93,142.35,139.95,146.08,143.35,139.95,23.93,0.150,185.97,110.72
25th Aug,UNIONBANK,133.04,136,132.83,-1.28,3.00,155.90,127.14,18.03,38.11,6493477,0.891,131.38,137.51,134.76,131.38,134.40,134.77,16.14,0.182,172.50,100.81
25th Aug,ASHOKLEY,131.01,131.87,130.37,-0.145,3.48,134.31,114.96,106.53,67.56,5255617,0.474,125.58,129.42,131.20,125.58,129.42,131.41,2.46,0.205,134.31,95.93
25th Aug,IRFC,124.36,125.95,124.20,-0.496,2.45,143.15,124.05,-91.51,34.37,5148548,1.04,130.19,127.63,124.98,130.82,128.15,125.05,31.01,0.106,229,108.04
25th Aug,SAIL,122.84,123.60,122.23,0.746,2.70,139.98,119.75,-23.50,46.99,2959974,0.574,127.53,124.22,121.93,127.53,124.22,122.66,14.81,0.158,175.35,99.15
25th Aug,BANKINDIA,114.97,116.16,114.76,-0.424,1.87,122.89,108.81,81.39,55.07,2758691,0.616,112.20,114.40,115.46,112.20,114.40,115.46,11.72,0.189,157.95,90.05
25th Aug,CANBK,108.82,110.98,108.51,-1.01,2.08,117.50,104.60,10.78,41.31,16134641,1.26,107.90,111.90,109.93,107.90,112.92,110,8.78,0.256,128.90,78.60
