date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,AMBUJACEM,581,-66.67,-71.92,-82.25,-106.33,-1.81,26.51,53.53,68.33,604.20
25th Aug,MONTECARLO,580,-66.67,-99.54,47.35,-5.14,-59.28,-44.62,-6.92,-37.62,556.51
25th Aug,FIVESTAR,576.50,-66.67,-133.33,-45.03,-64.97,-114.23,-143.68,-168.31,-186.76,618.06
25th Aug,OPTIEMUS,575.85,-66.67,-106.81,-33.95,-64.46,-92.98,-13.80,31.77,22.77,610.62
25th Aug,PNGJL,575,-66.67,-47.55,52.05,-18.13,-19.57,30.85,53.68,49.46,583.96
25th Aug,ELECON,572,66.67,-4.72,59.31,-33.49,-80.65,-66.56,-0.983,9.69,541.76
25th Aug,SILINV,571.65,66.67,37.99,72.24,-30.23,-81.52,-113.89,-25.15,-6.49,588.02
25th Aug,GUJALKALI,570.55,-66.67,44.94,105.20,-30.82,-66.95,-81.74,-41.93,-53.27,581.18
25th Aug,GHCL,568.85,-66.67,-110.70,21.28,-55.54,-101.43,-121.60,-130.88,-121.97,551.07
25th Aug,SUNTV,568.60,-66.67,-109.91,-123.91,-31.35,-69.50,-86.74,-83.03,-90.37,553.00
25th Aug,CEWATER,568.50,66.67,133.33,118.23,-37.07,-44.92,-12.79,17.04,-1.26,570.20
25th Aug,INDGN,567.55,-66.67,-92.97,-80.49,9.57,-34.46,-30.85,6.33,-16.05,558.97
25th Aug,RKFORGE,566.25,-66.67,-96.00,-121.70,-76.22,-112.86,-110.93,-108.47,-109.49,607.29
25th Aug,SEJALLTD,565.60,-66.67,-74.77,44.89,81.51,150.65,139.48,126.72,124.53,576.97
25th Aug,LANDMARK,565,-66.67,41.59,86.95,141.16,169.16,140.80,146.65,131.34,520.28
25th Aug,EUREKAFORB,562.70,66.67,133.33,65.29,-19.66,-72.04,-23.39,4.41,15.52,578.71
25th Aug,BORORENEW,562.05,66.67,-33.11,-82.66,-92.81,-3.02,26.61,49.67,58.94,601.93
25th Aug,SHANTIGEAR,561.50,-66.67,-122.96,10.28,46.46,95.49,127.21,140.85,152.12,549.66
25th Aug,LICHSGFIN,561.10,-66.67,-78.74,-155.69,-101.01,-159.06,-193.41,-68.52,-49.98,585.50
25th Aug,SEMAC,560,66.67,132.05,149.21,170.15,75.44,93.66,117.24,138.26,494.39
25th Aug,MAGADSUGAR,556.75,66.67,47.48,99.98,-10.09,-67.90,-103.05,-77.27,-59.77,522.07
25th Aug,CHAMBLFERT,555.70,-66.67,-40.39,77.55,81.76,65.67,-35.90,-43.22,-21.96,565.29
25th Aug,MEDIASSIST,554.75,-66.67,54.44,68.30,91.53,89.09,102.75,119.40,96.65,520.34
25th Aug,SELAN,552.80,66.67,-27.39,12.67,-74.87,-94.66,-54.38,-47.74,-54.15,583.90
25th Aug,SGIL,550.50,-66.67,53.51,102.88,139.76,148.40,121.47,92.14,100.89,518.31
