date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,GOPAL,362.50,-66.67,-17.96,26.09,72.49,60.72,63.53,75.96,84.13,344.14
22nd Aug,GUFICBIO,362.10,-66.67,-82.56,-3.68,-59.62,-21.87,-26.04,13.28,-23.70,382.14
22nd Aug,MHRIL,362,-66.67,51.93,114.19,64.75,78.51,71.08,79.69,91.81,365.99
22nd Aug,BIOCON,359.50,66.67,-47.50,28.29,-75.80,-22.26,17.87,39.55,24.85,341.67
22nd Aug,GENUSPOWER,358.75,66.67,98.93,-5.59,-50.37,-66.79,15.07,42.19,50.89,376.29
22nd Aug,GOLDIAM,358.25,66.67,98.95,48.59,90.65,82.40,18.37,0.287,-36.12,340.14
22nd Aug,GEECEE,356.90,-66.67,-116.76,-129.24,-211.26,-189.17,-159.27,-169.22,-172.62,379.45
22nd Aug,DIAMINESQ,355,-66.67,-127.81,-139.59,-162.64,-127.52,-110.86,-58.67,-66.73,391.93
22nd Aug,MANGCHEFER,354.50,-66.67,20.94,53.84,58.97,107.21,143.78,127.23,135.75,332.82
22nd Aug,RAILTEL,354.50,-66.67,-60.64,41.42,-65.04,-115.47,-43.80,-5.04,-3.85,371.71
22nd Aug,INDUSTOWER,353.55,66.67,97.61,149.92,-36.90,-90.99,-128.02,-58.56,-44.71,334.41
22nd Aug,CRIZAC,351.60,66.67,109.72,149.56,135.92,NaN,NaN,NaN,NaN,313.08
22nd Aug,MEDICAMEQ,350.95,-66.67,-16.59,-19.53,-101.88,-147.52,-154.18,-150.24,-153.68,374.64
22nd Aug,DVL,350.75,-66.67,-77.30,-48.71,-3.80,59.90,35.87,59.79,58.87,345.00
22nd Aug,IGIL,350.45,66.67,72.87,124.83,-63.57,-85.82,-72.24,-44.86,-62.26,364.88
22nd Aug,LAXMIDENTL,349.85,66.67,67.98,-55.00,-120.55,-170.70,-166.60,-150.35,NaN,382.02
22nd Aug,NITINSPIN,349.15,-66.67,-38.27,56.01,-53.14,-109.52,-124.06,-52.43,-52.63,359.10
